name,label,data_type,value_labels,n_missing,complete_rate
Fac_2,"What faculty or service do you work at?  This question will not be part of the data that will become publicly available. NB: If you work at multiple faculties/services, please answer 'other namely' and write down for which faculties/services you work. - S",numeric,"1. Faculty of Geosciences,2. Faculty of Humanities,3. Faculty of Law, Economics and Governance,4. Faculty of Medicine (UMCU, WKZ, PMC),5. Faculty of Science,6. Faculty of Social and Behavioural Sciences,7. Faculty of Veterinary Medicine,8. University College Utrecht,9. University Corporate Offices,10. University Library,11. Other, namely,12. Interdisciplinary faculty,13. Not only faculty/UBD/UB",19,0.965949821
Fac_new,,numeric,"1. Faculty,2. UBD/UB,3. UB",39,0.930107527
Pos,"What is your current position?This question will not be part of the data that will become publicly available.NB: If you hold multiple positions, please indicate the position with the highest level. - Selected Choice",numeric,"1. Department head,2. Communications advisor,3. Communication officer,4. Data Controller,5. Developer ICT,6. Employee knowledge valorisation,7. Employee educational development,8. Employee studium generale,9. Teaching/Research assistant,10. Education/research employee,11. Education coordinator,12. Internationalization employee,13. Information manager,14. IT Supporter,15. Library services employee,16. Plant/animal caretaker/biotechnician,17. Policy Officer,18. Policy Director,19. Process coordinator ICT,20. Project manager,21. Specialist scientific information,22. Skills teacher,23. Training manager,24. Team leader,25. Other, namely...",59,0.894265233
Contr,"Do you currently have a permanent or temporary contract?If you currently hold multiple positions, please indicate the position with the highest level. - Selected Choice",numeric,"1. Permanent,2. Temporary,3. Temporary, but with prospects of permanent,4. Other, namely",57,0.897849462
ContractHours,How many hours a week do you work according to your contract?Please answer between 0-40.,numeric,,67,0.879928315
OSinvolve,"In your work you may directly or indirectly be involved in open science.  Perhaps you already have clear tasks that are related to (support) in open science practices. Perhaps you are wondering whether this is the case, and this survey may help you to",numeric,"1. Yes I am definitely involved in open science,2. Yes, I think I am involved in open science,3. I am unsure whether I am involved in open science, I want to find out more,4. I think am not involved in open science, I want to learn more,5. I am definitely not involved in open science",91,0.836917563
QTimeSpent_Res,Think about your work during the past year. Are you involved in research or research support? Please click the answer that reflects your work situation best,numeric,"1. No, not at all (0% of my work),2. Yes, a little (around 20% of my work),3. Yes, somewhat (around 30% of my work),4. Yes, about half the time (around 50% of my work),5. Yes, most of my time (around 70% of my work),6. Yes, all of my time (100% of my work),7. Not applicable",172,0.691756272
QTimeSpent_Tea,Are you involved in teaching or teaching support?Please click the answer that reflects your work situation best,numeric,"1. No, not at all (0% of my work),2. Yes, a little (around 20% of my work),3. Yes, somewhat (around 30% of my work),4. Yes, about half the time (around 50% of my work),5. Yes, most of my time (around 70% of my work),6. Yes, all of my time (100% of my work),7. Not applicable",173,0.689964158
research,Involved in Research or Not,numeric,"0. Not involved in research,1. Involved in Research",219,0.607526882
ST_themes_1,Do you currently affiliate with one or more strategic themes at UU? Multiple answers are possible I do not affiliate with any of the strategic themes below,numeric,1. I do not affiliate with any of the strategic themes below,324,0.419354839
ST_themes_2,Do you currently affiliate with one or more strategic themes at UU?   Multiple answers are possible Pathways to sustainability,numeric,1. Pathways to sustainability,521,0.066308244
ST_themes_3,Do you currently affiliate with one or more strategic themes at UU? Multiple answers are possible Institutions of Open Societies,numeric,1. Institutions of Open Societies,528,0.053763441
ST_themes_4,Do you currently affiliate with one or more strategic themes at UU?   Multiple answers are possible Life Sciences,numeric,1. Life Sciences,522,0.064516129
ST_themes_5,Do you currently affiliate with one or more strategic themes at UU? Multiple answers are possible Dynamics of Youth,numeric,1. Dynamics of Youth,538,0.035842294
ST_themes_6,Do you currently affiliate with one or more strategic themes at UU? Multiple answers are possible I don’t know,numeric,1. I don’t know,494,0.114695341
OSCU,Are you a member of Open Science Community Utrecht?This question will not be part of the data that will become publicly available.,numeric,"1. Yes,2. No",181,0.67562724
Educ_level,What is the highest level of education you have completed?This question will not be part of the data that will become publicly available.,numeric,"1. Middle school or lower,2. High school diploma,3. Bachelor's degree,4. Master's degree,5. Doctoral degree",184,0.670250896
Gen,With what gender do you identify?  This question will not be part of the data that will become publicly available.,numeric,"0. Woman,1. Man,3. Non-binary/not-listed",122,0.781362007
Age,What is your age ?   This question will not be part of the data that will become publicly available.,numeric,,146,0.738351254
Nationality,What is your nationality?This question will not be part of the data that will become publicly available.,numeric,"1. Dutch,2. Other",127,0.772401434
TRIPLE_Aw,Are you familiar with the TRIPLE model as described above?,numeric,"1. Not at all familiar,2. Slightly familiar,3. Somewhat familiar,4. Quite familiar,5. Very familiar",257,0.539426523
Q_LEADER,"Do you currently fulfil a formal leadership role? To illustrate this role, do you hold (yearly) assessment conversations (B&O) with people for whom you are their formal supervisor?",numeric,"1. Yes,2. No",257,0.539426523
