name,label,data_type,value_labels,n_missing,complete_rate,
Faculty_2,"What faculty do you work at? This question will not be part of the data that will become publicly available.  NB: If you work at multiple faculties at UU, please answer 'other namely' and write down the faculties you work at. - Selected Choice",numeric,"1. Faculty of Geosciences,2. Faculty of Humanities,3. Faculty of Law, Economics and Governance,4. Faculty of Medicine (UMCU, WKZ, PMC),5. Faculty of Science,6. Faculty of Social and Behavioural Sciences,7. Faculty of Veterinary Medicine,8. Other, namely",23,0.963722397,
Pos_2,"What is your current position?NB: If you hold multiple positions, please indicate the position with the highest level. - Selected Choice",numeric,"1. PhD candidate,2. Post-doc,3. (Junior) teacher,4. Assistant professor,5. Associate professor,6. Full professor,7. Other, namely",42,0.933753943,
Contr,Do you currently have a permanent or temporary contract? - Selected Choice,numeric,"1. Permanent,2. Temporary,3. Temporary, but with prospects of permanent,4. Other, namely",43,0.932176656,
ContractHours,How many hours a week do you work according to your contractPlease answer between 0-40.,numeric,,55,0.913249211,
QTimeSpent_Res,Think about your work during the past year.Are you involved in research? Please click the answer that reflects your work situation best,numeric,"1. No, not at all (0% of my work),2. Yes, a little (around 20% of my work),3. Yes, somewhat (around 30% of my work),4. Yes, about half the time (around 50% of my work),5. Yes, most of my time (around 70% of my work),6. Yes, all of my time (100% of my work)",54,0.914826498,
QTimeSpent_Tea,Are you involved in teaching? Please click the answer that reflects your work situation best,numeric,"1. No, not at all (0% of my work),2. Yes, a little (around 20% of my work),3. Yes, somewhat (around 30% of my work),4. Yes, about half the time (around 50% of my work),5. Yes, most of my time (around 70% of my work),6. Yes, all of my time (100% of my work)",56,0.911671924,
TypeofResearch_1,"What type of research are you involved in?Multiple answers possible; please check all that apply. - Selected Choice Quantitative research (e.g experiments, population data)",numeric,"1. Quantitative research (e.g experiments, population data)",279,0.559936909,
TypeofResearch_2,"What type of research are you involved in?Multiple answers possible; please check all that apply. - Selected Choice Qualitative research (e.g., interviews, observations, audio or video recordings, objects)",numeric,"1. Qualitative research (e.g., interviews, observations, audio or video recordings, objects)",432,0.318611987,
TypeofResearch_3,"What type of research are you involved in?Multiple answers possible; please check all that apply. - Selected Choice Theoretical research (e.g., literature writing, reviewing, models)",numeric,"1. Theoretical research (e.g., literature writing, reviewing, models)",330,0.479495268,
TypeofResearch_4,"What type of research are you involved in? Multiple answers possible; please check all that apply. - Selected Choice Other, namely",numeric,"1. Other, namely",610,0.03785489,
