"";"Faculty_2";"Pos_2";"Contr";"ContractHours";"QTimeSpent_Res";"QTimeSpent_Tea";"TypeofResearch_1";"TypeofResearch_2";"TypeofResearch_3";"TypeofResearch_4";"Human";"ST_themes_1";"ST_themes_2";"ST_themes_3";"ST_themes_4";"ST_themes_5";"ST_themes_6";"OSCU";"Gen";"Age";"Nationality";"Prac_Aw_1_1";"Prac_Aw_1_2";"Prac_Aw_1_3";"Prac_Aw_1_4";"Prac_Aw_1_5";"Prac_Aw_1_6";"Prac_Aw_1_7";"Prac_Aw_1_8";"Prac_Aw_1_9";"Prac_Aw_1_10";"Prac_Aw_1_11";"Prac_Aw_1_12";"Prac_Att_1";"Prac_Att_2";"Prac_Att_3";"Prac_Att_4";"Prac_Att_5";"Prac_Att_6";"Prac_Att_7";"Prac_Att_8";"Prac_Att_9";"Prac_Att_10";"Prac_Att_11";"Prac_Att_12";"Prac_Beh_1";"Prac_Beh_2";"Prac_Beh_3";"Prac_Beh_4";"Prac_Beh_5";"Prac_Beh_6";"Prac_Beh_7";"Prac_Beh_8";"Prac_Beh_9";"Prac_Beh_10";"Prac_Beh_11";"Prac_Beh_12";"OS_re_use_1";"OS_re_use_2";"OS_re_use_3";"OS_re_use_4";"OS_re_use_5";"OS_re_use_6";"OS_re_use_7";"OS_re_use_8";"OppMat_1";"OppMat_2";"OppMat_3";"OppMat_4";"OppMat_5";"OppMat_6";"OppMat_7";"OppMat_8";"OppMat_9";"OppMat_10";"BarMat_1";"BarMat_2";"BarMat_3";"BarMat_4";"BarMat_5";"BarMat_6";"BarMat_7";"BarMat_8";"BarMat_9";"BarMat_10";"Supp_Sources_1";"Supp_Sources_2";"Supp_Sources_3";"Supp_Sources_4";"Supp_Sources_5";"Supp_Sources_6";"Supp_Sources_7";"Supp_Sources_8";"Supp_Sources_9";"Supp_Sources_10";"Supp_Sources_11";"Supp_Sources_12";"Supp_useful_1";"Supp_useful_2";"Supp_useful_3";"Supp_useful_4";"Supp_useful_5";"Supp_useful_6";"Supp_useful_7";"Supp_useful_8";"Supp_useful_9";"Supp_useful_10";"Supp_useful_11";"Supp_useful_12";"QPROFSELF_1";"QPROFSELF_2";"QPROFSELF_3";"QPROFSELF_4";"QPROFSELF_5";"QPROFSELF_6";"QPROFSELF_7";"QPROFSELF_8";"QPROFSELF_9";"QPROFSELF_10";"QPROFSELF_11";"QPROFSELF_12";"QPROFSELF_13";"QPROFSELF_14";"QSUCCESS_1";"QSUCCESS_2";"QSUCCESS_3";"QSUCCESS_4";"QSUCCESS_5";"QSUCCESS_6";"QSUCCESS_7";"QSUCCESS_8";"QSUCCESS_9";"QSUCCESS_10";"QSUCCESS_11";"QSUCCESS_12";"QSUCCESS_13";"QSUCCESS_14";"IdentityMat_1";"IdentityMat_2";"IdentityMat_3";"IdentityMat_4";"TRIPLE_Aw";"Q_TEAMBELONG_1";"Q_TEAMBELONG_2";"Q_TEAMBELONG_3";"Q_TEAMBELONG_4";"QTEAM_ROLE_1";"QTEAM_ROLE_2";"QTEAM_ROLE_3";"QTEAM_ROLE_4";"QTEAM_ROLE_5";"QTEAM_ROLE_6";"QTEAM_ROLE_7";"QTEAM_ROLE_8";"Q_Teamdiv_1";"Q_Teamdiv_2";"Q_Teamdiv_3";"Q_Teamdiv_4";"Q_Teamdiv_5";"Q_LEADER";"Q_TRIPLESUBUSE";"QTRIPLE_SUBNORM_1";"QTRIPLE_SUBNORM_2";"QTRIPLE_SUBNORM_3";"QTRIPLE_SUBNORM_4";"QTRIPLE_SUBNORM_5";"QTRIPLE_SUBNORM_6";"QTRIPLE_SUBATT_1";"QTRIPLE_SUBATT_2";"QTRIPLE_SUBATT_3";"QTRIPLE_SUBATT_4";"QTRIPLE_SUBATT_5";"QTRIPLE_SUBATT_6";"QTRIPLE_LEADUSE";"Q_TRIPLE_LEADREL_1";"Q_TRIPLE_LEADREL_2";"Q_TRIPLE_LEADREL_3";"Q_TRIPLE_LEADREL_4";"Q_TRIPLE_LEADREL_5";"Q_TRIPLE_LEADREL_6";"QTRIPLE_LEADATT_1";"QTRIPLE_LEADATT_2";"QTRIPLE_LEADATT_3";"QTRIPLE_LEADATT_4";"QTRIPLE_LEADATT_5";"QTRIPLE_LEADATT_6";"Q_FUTCAR_1";"Q_FUTCAR_2";"Q_FUTCAR_3";"Q_FUTCAR_4";"Q_FUTCAR_5";"Q_FUTCAR_6";"Q_LEARN";"Q_DIFFICULTY"
"1";8;5;1;18;3;1;NA;1;1;NA;1;1;NA;NA;NA;NA;NA;1;1;3;1;1;1;2;1;2;1;2;2;1;2;1;2;2;5;1;3;2;1;1;1;4;3;4;4;2;4;2;3;1;1;1;3;3;4;2;3;NA;1;1;1;1;NA;1;1;5;1;3;2;4;2;4;1;4;3;2;2;4;2;1;5;4;3;4;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;3;5;5;3;5;3;4;1;1;3;2;2;4;1;4;5;5;4;4;4;3;1;3;2;3;4;5;5;1;1;3;4;3;1;1;5;1;2;4;4;3;4;4;NA;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;4;1;3;4;4;1;3;1;4;3;6;2;3;4;2;2;1;1;2
"2";8;7;2;25;3;5;1;1;1;1;1;1;NA;NA;NA;NA;NA;1;3;59;1;1;1;1;1;2;1;2;2;2;2;1;2;5;2;1;5;2;2;6;1;1;1;5;2;5;3;1;4;1;5;4;5;2;5;2;4;NA;1;1;NA;NA;1;NA;NA;5;4;4;2;1;3;1;3;1;2;5;2;2;4;1;4;2;5;4;4;NA;NA;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;2;4;NA;NA;5;NA;NA;2;3;2;3;2;2;3;2;3;4;3;3;4;3;2;4;3;3;1;2;5;5;2;1;2;4;1;2;1;3;4;5;4;3;5;3;1;1;4;5;5;2;5;3;2;1;NA;1;NA;1;2;2;2;4;1;4;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;1;1;3;3;1;5
"3";1;4;1;19;5;5;NA;1;1;NA;1;1;NA;NA;NA;NA;NA;2;1;88;1;2;2;2;1;2;2;2;1;2;1;1;2;6;5;6;5;3;4;4;5;1;5;2;6;3;1;5;4;3;2;2;5;5;2;3;3;1;NA;NA;NA;NA;NA;NA;NA;2;4;1;4;4;1;2;2;4;4;5;2;2;5;1;1;1;4;1;4;NA;1;1;NA;NA;NA;NA;1;1;1;1;NA;NA;5;5;NA;NA;NA;NA;1;5;5;1;NA;4;4;4;2;4;1;4;1;4;2;1;2;5;1;4;4;1;4;5;4;2;1;5;1;4;5;2;4;4;5;4;3;4;1;1;1;5;5;3;3;1;3;4;4;5;1;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;3;5;2;2;1;1;2;2;2;1;3;4;5;4;1;1;4;4;3
"4";8;7;3;7;1;5;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;1;2;57;2;1;1;2;2;1;2;1;2;2;2;2;1;1;3;5;6;2;2;2;2;2;1;6;6;1;1;2;1;5;2;5;4;5;4;3;1;1;NA;NA;NA;NA;NA;NA;NA;3;5;1;1;3;4;2;1;5;2;2;2;5;5;5;2;2;3;3;2;NA;NA;NA;1;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;2;NA;NA;2;NA;5;2;NA;NA;5;3;5;2;1;2;5;1;5;4;5;1;2;4;5;4;2;3;5;2;3;4;5;4;2;2;3;3;1;1;2;2;3;5;3;4;1;4;4;3;1;1;2;5;5;1;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;4;4;4;2;2;2;3;3;4;4;3;1;3;4;4;5;3;1
"5";7;2;3;20;4;5;1;1;1;1;2;1;NA;NA;NA;NA;NA;1;3;72;1;2;1;2;1;2;2;2;2;2;1;2;2;1;2;4;3;6;5;5;4;4;1;3;4;5;1;1;3;2;5;3;3;5;4;1;5;NA;NA;NA;1;NA;1;NA;1;4;3;3;3;4;2;3;1;5;4;4;5;1;3;2;1;1;4;1;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;3;3;3;2;2;5;1;1;2;2;2;1;5;1;4;4;3;2;2;5;2;1;2;1;4;3;5;2;4;3;2;1;1;4;1;2;4;1;4;1;2;4;3;NA;NA;1;NA;1;2;2;3;4;1;3;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;4;5;3;1;1;1
"6";3;1;4;26;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;1;58;1;2;2;1;1;1;2;1;1;2;1;1;2;5;4;5;2;2;1;1;3;6;5;2;4;4;2;3;4;4;5;1;5;4;5;5;3;1;NA;NA;NA;NA;NA;NA;NA;2;3;5;3;1;4;2;2;1;2;2;1;1;2;5;3;4;3;5;3;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;5;NA;NA;NA;NA;NA;NA;3;3;5;4;4;5;3;1;2;1;1;5;4;2;3;2;1;4;4;3;1;3;2;2;5;2;5;3;1;3;4;1;1;4;5;2;5;2;1;5;4;5;1;2;1;1;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;2;5;2;1;NA;NA;NA;NA;NA;NA;3;4;5;3;4;5;3;4
"7";4;3;2;37;2;4;1;NA;1;1;3;1;NA;NA;NA;NA;NA;1;3;20;1;1;1;2;1;1;1;1;2;1;1;1;1;2;5;5;2;4;4;3;1;3;4;1;6;4;3;4;2;1;1;5;1;5;4;1;4;1;NA;NA;NA;NA;NA;NA;NA;4;3;1;2;4;2;1;4;2;4;3;1;5;1;2;5;4;2;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;4;1;2;4;5;2;1;4;1;3;5;3;1;3;2;3;1;4;1;5;5;2;3;4;3;4;3;4;2;3;4;5;2;1;3;5;1;3;3;3;4;4;2;NA;NA;1;1;NA;2;2;5;5;2;2;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;2;1;3;5;3;3
"8";4;7;2;24;1;1;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;2;2;11;1;2;2;1;1;2;1;2;1;1;2;1;1;3;2;4;6;6;4;2;6;4;4;2;3;2;5;1;2;2;3;2;3;3;2;1;4;1;NA;NA;NA;NA;NA;NA;NA;1;5;4;2;5;5;1;5;4;5;3;2;2;5;3;2;1;1;4;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;4;4;3;4;4;1;4;2;5;4;1;3;2;3;5;1;5;2;3;4;4;3;5;3;2;4;1;1;5;2;2;2;2;3;5;4;3;3;3;4;5;2;3;1;1;1;1;1;2;3;3;2;1;5;5;5;1;6;2;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;2;2;1;4;2;4
"9";6;5;4;14;4;2;1;1;NA;NA;3;1;NA;NA;NA;NA;NA;1;3;61;2;2;2;1;2;2;1;2;2;1;2;1;2;5;2;4;3;1;3;6;4;4;4;1;1;4;3;1;1;5;3;4;4;3;4;4;3;NA;NA;NA;1;1;NA;NA;NA;4;2;4;5;3;1;3;4;3;3;1;2;4;2;5;1;3;5;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;5;1;2;5;2;4;4;2;5;3;5;1;1;4;3;5;3;3;3;3;4;1;4;5;5;3;1;2;1;1;5;3;4;5;5;4;3;5;5;5;2;4;3;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;4;2;4;1;NA;NA;NA;NA;NA;NA;1;5;4;2;3;5;1;2
"10";2;7;1;2;3;3;1;1;1;NA;1;1;NA;NA;NA;NA;NA;1;3;12;2;1;2;2;1;1;2;2;2;1;2;2;2;3;3;5;1;3;6;5;3;2;4;5;1;2;2;5;3;2;2;3;4;1;1;5;5;NA;NA;1;1;NA;1;1;NA;5;5;2;3;4;2;2;3;1;5;1;2;2;3;4;4;3;4;2;2;NA;1;NA;NA;1;NA;NA;1;1;1;NA;NA;NA;5;NA;NA;5;NA;NA;4;3;4;NA;NA;4;5;2;4;4;5;1;1;1;1;4;2;4;3;2;4;5;5;1;4;1;3;5;2;4;3;4;4;5;3;1;2;3;2;2;5;4;3;1;4;2;4;5;4;3;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;5;2;3;3;3;NA;NA;NA;NA;NA;NA;3;2;1;2;2;2;1;4
